Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-01-29,24.469910012539554,24.469910012539554,24.348169166706022,24.452518463134766,1003200,29,4,4,1,1993
1993-02-01,24.469904693506532,24.626428604125977,24.469904693506532,24.626428604125977,480500,1,0,5,2,1993
1993-02-02,24.609041744928447,24.695999489610173,24.55686709811941,24.678607940673828,201300,2,1,5,2,1993
1993-02-03,24.71338592380327,24.956867558520543,24.69599437846632,24.939476013183594,529400,3,2,5,2,1993
1993-02-04,25.026431698269313,25.095997873942054,24.74816699557834,25.0438232421875,531500,4,3,5,2,1993
1993-02-05,25.026439666748047,25.07861431511514,24.887307271102472,25.026439666748047,492100,5,4,5,2,1993
1993-02-08,25.026439666748047,25.113397414026533,24.991656567836653,25.026439666748047,596100,8,0,6,2,1993
1993-02-09,24.939473893610728,24.939473893610728,24.800341542739815,24.852516174316406,122100,9,1,6,2,1993
1993-02-10,24.852519306580056,24.90469394473243,24.782953122376895,24.88730239868164,379600,10,2,6,2,1993
1993-02-11,24.92207550770384,25.11338243763039,24.92207550770384,25.009033203125,19500,11,3,6,2,1993
1993-02-12,24.974263421789118,24.974263421789118,24.81773948669434,24.817739486694336,42500,12,4,6,2,1993
1993-02-16,24.74816448066322,24.74816448066322,24.156852047534233,24.191635131835938,374800,16,1,7,2,1993
1993-02-17,24.191631651953827,24.226414731252106,24.087282414058986,24.174240112304688,210900,17,2,7,2,1993
1993-02-18,24.452518600452883,24.452518600452883,23.826422818364474,24.156862258911133,378100,18,3,7,2,1993
1993-02-19,24.15686434276477,24.24382209777832,24.12208124075935,24.24382209777832,34900,19,4,7,2,1993
1993-02-22,24.31337513627113,24.365549761027076,24.243808969929866,24.330766677856445,513600,22,0,8,2,1993
1993-02-23,24.400346581345808,24.417738132722388,24.19164796482681,24.31338882446289,373700,23,1,8,2,1993
1993-02-24,24.33077232851147,24.626428604125977,24.33077232851147,24.626428604125977,26300,24,2,8,2,1993
1993-02-25,24.609041744928447,24.695999489610173,24.55686709811941,24.678607940673828,44500,25,3,8,2,1993
1993-02-26,24.730791442248286,24.730791442248286,24.591659000941686,24.71339988708496,66200,26,4,8,2,1993
1993-03-01,24.800351395267114,24.800351395267114,24.60904433681835,24.643827438354492,66500,1,0,9,3,1993
1993-03-02,24.66120242144037,25.009033203125,24.626419343271905,25.009033203125,182400,2,1,9,3,1993
1993-03-03,25.043835204063694,25.130792965188913,25.009052099613605,25.113401412963867,280100,3,2,9,3,1993
1993-03-04,25.148179633371676,25.148179633371676,24.97426414489746,24.97426414489746,89500,4,3,9,3,1993
1993-03-05,25.00904862441164,25.11339792326176,24.88730777575317,24.904699325561523,40000,5,4,9,3,1993
1993-03-08,24.956883719710056,25.461238861083988,24.956883719710056,25.461238861083984,50800,8,0,10,3,1993
1993-03-09,25.409062132596805,25.426453687786807,25.322104356646783,25.374279022216797,169300,9,1,10,3,1993
1993-03-10,25.374287490479432,25.42646217346191,25.26993812451447,25.426462173461914,194400,10,2,10,3,1993
1993-03-11,25.44384176675511,25.513407978010765,25.32210089705772,25.356884002685547,70900,11,3,10,3,1993
1993-03-12,25.148177220271183,25.16556876744979,24.939478654127853,25.09600257873535,643600,12,4,10,3,1993
1993-03-15,25.07860485471528,25.217737197875973,25.07860485471528,25.217737197875977,310800,15,0,11,3,1993
1993-03-16,25.217737197875973,25.28730336945632,25.217737197875973,25.217737197875977,30800,16,1,11,3,1993
1993-03-17,25.18295908602967,25.18295908602967,25.026435169058487,25.06121826171875,21800,17,2,11,3,1993
1993-03-18,25.165562569190715,25.322086455246495,25.165562569190715,25.217737197875977,59300,18,3,11,3,1993
1993-03-19,25.319368253889223,25.319368253889223,25.17957878112793,25.17957878112793,66900,19,4,11,3,1993
1993-03-22,24.934952793800157,25.09221598591242,24.917479105787685,25.039794921875,183400,22,0,12,3,1993
1993-03-23,25.10969018006391,25.127163868428603,25.05726911496983,25.09221649169922,55200,23,1,12,3,1993
1993-03-24,25.05726911496983,25.197058621887376,24.934953296416978,25.09221649169922,37200,24,2,12,3,1993
1993-03-25,25.109680305137765,25.301890801558443,25.07473294215219,25.249469757080078,110100,25,3,12,3,1993
1993-03-26,25.232013195359055,25.24948688870764,25.09222364857036,25.109697341918945,101500,26,4,12,3,1993
1993-03-29,25.12715870625264,25.336842923550993,25.12715870625264,25.214527130126953,87100,29,0,13,3,1993
1993-03-30,25.24947264644304,25.284420013427734,25.214525279458343,25.284420013427734,56000,30,1,13,3,1993
1993-03-31,25.354313297720203,25.424208027693243,25.266944885253903,25.266944885253906,111600,31,2,13,3,1993
1993-04-01,25.30189456979406,25.30189456979406,25.127157728842448,25.17957878112793,129500,1,3,13,4,1993
1993-04-02,24.96990671570127,24.96990671570127,24.655380249023438,24.655380249023438,59400,2,4,13,4,1993
1993-04-05,24.847576079482923,24.847576079482923,24.70778662193309,24.777681350708008,172200,5,0,14,4,1993
1993-04-06,24.830115752645057,24.830115752645057,24.63790514512986,24.707799911499023,129700,6,1,14,4,1993
1993-04-07,24.74274304250834,24.795164108276367,24.690321976740314,24.795164108276367,28000,7,2,14,4,1993
1993-04-08,24.900009098739464,24.900009098739464,24.65537743040097,24.76021957397461,180800,8,3,14,4,1993
1993-04-12,25.004855181827427,25.127171035267533,24.969907795130254,25.109697341918945,348500,12,0,15,4,1993
1993-04-13,25.092208920584785,25.24947206841575,25.074735237492458,25.1621036529541,146100,13,1,15,4,1993
1993-04-14,25.17956870587048,25.19704238297379,25.109673997457236,25.127147674560547,119600,14,2,15,4,1993
1993-04-15,25.109673997457236,25.17956870587048,25.022305611940684,25.127147674560547,148600,15,3,15,4,1993
1993-04-16,25.144621351663858,25.17956870587048,25.092200320353925,25.127147674560547,47900,16,4,15,4,1993
1993-04-19,25.127163831082136,25.197058584437023,25.004848012711083,25.022321701049805,157000,19,0,16,4,1993
1993-04-20,24.987381436532004,25.022328823156524,24.742749730160362,24.900012969970703,279500,20,1,16,4,1993
1993-04-21,24.952430698309055,24.952430698309055,24.812641170587433,24.882535934448242,67900,21,2,16,4,1993
1993-04-22,24.77769078163809,24.98737504777325,24.56800651550293,24.56800651550293,97700,22,3,16,4,1993
1993-04-23,24.515595908846176,24.585490694046022,24.428227427346368,24.46317481994629,106000,23,4,16,4,1993
1993-04-26,24.480636477212926,24.568004915746876,24.201057473904285,24.270952224731445,62600,26,0,17,4,1993
1993-04-27,24.23600923641455,24.533061981201172,24.23600923641455,24.533061981201172,156800,27,1,17,4,1993
1993-04-28,24.498102649631544,24.550523696670698,24.445681602592387,24.480628967285156,85900,28,2,17,4,1993
1993-04-29,24.533066283919407,24.585487365722656,24.393276732444082,24.585487365722656,85000,29,3,17,4,1993
1993-04-30,24.672851064342233,24.760219517119648,24.62042999267578,24.62042999267578,88500,30,4,17,4,1993
1993-05-03,24.6553655753519,24.777681350708004,24.550523482189526,24.777681350708008,80500,3,0,18,5,1993
1993-05-04,24.830101998356643,24.952417771747562,24.795154634530665,24.865049362182617,149100,4,1,18,5,1993
1993-05-05,24.865057033012192,25.022320218744525,24.865057033012192,24.934951782226562,109000,5,2,18,5,1993
